,id1,id2,score
174,177,80,1.0
175,177,240,1.0
176,177,242,1.0
177,177,301,1.0
178,177,340,1.0
179,177,300,1.0
180,177,241,1.0
181,177,239,1.0
182,177,175,1.0
183,177,174,1.0
184,178,179,1.0
185,179,178,1.0
186,180,117,1.0
187,180,563,1.0
188,180,601,1.0
189,180,603,1.0
190,180,627,1.0
191,180,602,1.0
192,180,600,1.0
193,180,543,1.0
194,180,82,1.0
195,180,81,1.0
196,181,548,1.0
197,181,611,1.0
198,181,727,1.0
199,181,726,1.0
200,181,598,1.0
201,181,546,1.0
202,181,302,1.0
203,182,558,1.0
204,182,624,1.0
205,182,651,1.0
206,182,719,1.0
207,182,720,1.0
208,182,717,1.0
209,182,632,1.0
210,182,595,1.0
211,182,552,1.0
212,182,269,1.0
213,183,637,1.0
214,183,652,1.0
215,183,746,1.0
216,183,724,1.0
217,183,647,1.0
218,183,545,1.0
219,183,120,1.0
220,185,201,1.0
221,185,271,1.0
222,185,273,1.0
223,185,279,1.0
224,185,280,1.0
225,185,274,1.0
226,185,272,1.0
227,185,219,1.0
228,185,173,1.0
229,185,170,1.0
230,186,278,1.0
231,186,392,1.0
232,186,408,1.0
233,186,419,1.0
234,186,429,1.0
235,186,413,1.0
236,186,393,1.0
237,186,391,1.0
238,186,277,1.0
239,186,111,1.0
240,189,190,1.0
241,190,189,1.0
242,195,200,1.0
243,196,199,1.0
244,197,659,1.0
245,197,661,1.0
246,197,663,1.0
247,197,665,1.0
248,197,713,1.0
249,197,664,1.0
250,197,662,1.0
251,197,660,1.0
252,197,658,1.0
253,197,657,1.0
254,199,196,1.0
255,200,195,1.0
256,201,185,1.0
257,201,271,1.0
258,201,273,1.0
259,201,279,1.0
260,201,280,1.0
261,201,274,1.0
262,201,272,1.0
263,201,219,1.0
264,201,173,1.0
265,201,170,1.0
266,202,356,1.0
267,202,372,1.0
268,202,384,1.0
269,202,388,1.0
270,202,389,1.0
271,202,385,1.0
272,202,381,1.0
273,202,368,1.0
274,202,353,1.0
275,202,352,1.0
276,203,597,1.0
277,215,217,1.0
278,216,218,1.0
279,217,215,1.0
280,218,216,1.0
281,219,185,1.0
282,219,271,1.0
283,219,273,1.0
284,219,279,1.0
285,219,280,1.0
286,219,274,1.0
287,219,272,1.0
288,219,201,1.0
289,219,173,1.0
290,219,170,1.0
291,220,373,1.0
292,224,133,1.0
293,224,499,1.0
294,224,745,1.0
295,224,134,1.0
296,224,104,1.0
297,224,103,1.0
298,226,677,1.0
299,226,227,1.0
300,226,131,1.0
301,227,677,1.0
302,227,226,1.0
303,227,131,1.0
304,228,229,1.0
305,229,228,1.0
306,235,653,1.0
307,235,689,1.0
308,235,702,1.0
309,235,704,1.0
310,235,715,1.0
311,235,703,1.0
312,235,701,1.0
313,235,678,1.0
314,235,557,1.0
315,235,237,1.0
316,236,679,1.0
317,236,682,1.0
318,236,716,1.0
319,236,681,1.0
320,236,556,1.0
321,236,238,1.0
322,237,653,1.0
323,237,689,1.0
324,237,702,1.0
325,237,704,1.0
326,237,715,1.0
327,237,703,1.0
328,237,701,1.0
329,237,678,1.0
330,237,557,1.0
331,237,235,1.0
332,238,679,1.0
333,238,682,1.0
334,238,716,1.0
335,238,681,1.0
336,238,556,1.0
337,238,236,1.0
338,239,177,1.0
339,239,240,1.0
340,239,242,1.0
341,239,301,1.0
342,239,340,1.0
343,239,300,1.0
344,239,241,1.0
345,239,80,1.0
346,239,175,1.0
347,239,174,1.0
348,240,177,1.0
349,240,239,1.0
350,240,242,1.0
351,240,301,1.0
352,240,340,1.0
353,240,300,1.0
354,240,241,1.0
355,240,80,1.0
356,240,175,1.0
357,240,174,1.0
358,241,177,1.0
359,241,239,1.0
360,241,242,1.0
361,241,301,1.0
362,241,340,1.0
363,241,300,1.0
364,241,240,1.0
365,241,80,1.0
366,241,175,1.0
367,241,174,1.0
368,242,177,1.0
369,242,239,1.0
370,242,241,1.0
371,242,301,1.0
372,242,340,1.0
373,242,300,1.0
374,242,240,1.0
375,242,80,1.0
376,242,175,1.0
377,242,174,1.0
378,243,244,1.0
379,244,243,1.0
380,247,248,1.0
381,248,247,1.0
382,249,692,1.0
383,249,693,1.0
384,249,547,1.0
385,249,121,1.0
386,250,253,1.0
387,250,252,1.0
388,250,251,1.0
389,251,253,1.0
390,251,252,1.0
391,251,250,1.0
392,252,253,1.0
393,252,251,1.0
394,252,250,1.0
395,253,252,1.0
396,253,251,1.0
397,253,250,1.0
398,254,257,1.0
399,255,256,1.0
400,256,255,1.0
401,257,254,1.0
402,260,261,1.0
403,261,260,1.0
404,266,634,1.0
405,266,722,1.0
406,266,648,1.0
407,266,568,1.0
408,266,564,1.0
409,267,549,1.0
410,268,743,1.0
411,269,558,1.0
412,269,624,1.0
413,269,651,1.0
414,269,719,1.0
415,269,720,1.0
416,269,717,1.0
417,269,632,1.0
418,269,595,1.0
419,269,552,1.0
420,269,182,1.0
421,271,185,1.0
422,271,219,1.0
423,271,273,1.0
424,271,279,1.0
425,271,280,1.0
426,271,274,1.0
427,271,272,1.0
428,271,201,1.0
429,271,173,1.0
430,271,170,1.0
431,272,185,1.0
432,272,219,1.0
433,272,273,1.0
434,272,279,1.0
435,272,280,1.0
436,272,274,1.0
437,272,271,1.0
438,272,201,1.0
439,272,173,1.0
440,272,170,1.0
441,273,185,1.0
442,273,219,1.0
443,273,272,1.0
444,273,279,1.0
445,273,280,1.0
446,273,274,1.0
447,273,271,1.0
448,273,201,1.0
449,273,173,1.0
450,273,170,1.0
451,274,185,1.0
452,274,219,1.0
453,274,272,1.0
454,274,279,1.0
455,274,280,1.0
456,274,273,1.0
457,274,271,1.0
458,274,201,1.0
459,274,173,1.0
460,274,170,1.0
461,275,472,1.0
462,275,485,1.0
463,275,474,1.0
464,275,357,1.0
465,275,351,1.0
466,277,278,1.0
467,277,392,1.0
