,id1,id2,analysis1,analysis2,similarity
72,204.0,134.0,Pickel_1998_sections_NPY_axonterminals_quantitation,Klenowski_2016_old_slices_MSN_spines_quantitation,0.625
73,134.0,204.0,Klenowski_2016_old_slices_MSN_spines_quantitation,Pickel_1998_sections_NPY_axonterminals_quantitation,0.625
74,681.0,679.0,Roberts_1995b_ultrathin_synapses_sym_quantitation,Roberts_2001_ultrathin_synapses_sym_quantitation,0.625
75,681.0,678.0,Roberts_1995b_ultrathin_synapses_sym_quantitation,Roberts_2001_ultrathin_synapses_asym_quantitation,0.625
76,682.0,679.0,Roberts_1995b_ultrathin_synapses_asym_quantitation,Roberts_2001_ultrathin_synapses_sym_quantitation,0.625
77,682.0,678.0,Roberts_1995b_ultrathin_synapses_asym_quantitation,Roberts_2001_ultrathin_synapses_asym_quantitation,0.625
78,278.0,419.0,Harris_1996_lewis_sections_TH_neurons_quantitation,Alexi_1996_sections_TH_neurons_quantitation,0.6666666666666666
79,324.0,304.0,NMO_Henny_2013_sections_TH_neurons_morphology,Sadek_2007_sections_innerneurons_boutons_quantitation,0.6666666666666666
80,324.0,305.0,NMO_Henny_2013_sections_TH_neurons_morphology,Sadek_2007_sections_outerneurons_boutons_quantitation,0.6666666666666666
81,146.0,433.0,Lawrence_2012_sections_glia_quantitation,Bukhatwa_2009_sections_FG_neurons_all_quantitation,0.6666666666666666
82,146.0,651.0,Lawrence_2012_sections_glia_quantitation,Luk_2001_sections_nissl_neurons_quantitation,0.6666666666666666
83,277.0,419.0,Harris_1996_fisher_sections_TH_neurons_quantitation,Alexi_1996_sections_TH_neurons_quantitation,0.6666666666666666
84,234.0,651.0,Talavera_1997_mountedsections_strong_NADPHd_neurons_quantitation,Luk_2001_sections_nissl_neurons_quantitation,0.6666666666666666
85,234.0,302.0,Talavera_1997_mountedsections_strong_NADPHd_neurons_quantitation,Barcia_2012_sections_NADPH_neurons_quantitation,0.6666666666666666
86,195.0,658.0,Oestergaard_1995_sections_SS-immun_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.6666666666666666
87,195.0,663.0,Oestergaard_1995_sections_SS-immun_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.6666666666666666
88,231.0,133.0,Svingos_1999_ultrathin_KOR_terminals_quantitation,Klenowski_2016_young_slices_MSN_spines_quantitation_shell,0.6666666666666666
89,305.0,324.0,Sadek_2007_sections_outerneurons_boutons_quantitation,NMO_Henny_2013_sections_TH_neurons_morphology,0.6666666666666666
90,304.0,324.0,Sadek_2007_sections_innerneurons_boutons_quantitation,NMO_Henny_2013_sections_TH_neurons_morphology,0.6666666666666666
91,378.0,471.0,Panneton_2010_sections_TH_neurons_quantitation,Omelchenko_2016_sections_TH_neurons_quantitation,0.6666666666666666
92,233.0,651.0,Talavera_1997_mountedsections_weak_NADPHd_neurons_quantitation,Luk_2001_sections_nissl_neurons_quantitation,0.6666666666666666
93,233.0,302.0,Talavera_1997_mountedsections_weak_NADPHd_neurons_quantitation,Barcia_2012_sections_NADPH_neurons_quantitation,0.6666666666666666
94,471.0,378.0,Omelchenko_2016_sections_TH_neurons_quantitation,Panneton_2010_sections_TH_neurons_quantitation,0.6666666666666666
95,196.0,658.0,Oestergaard_1995_sections_NPY-immun_neurons_quantitation,Murata_2003_P10_sections_NADPH_neurons_quantitation,0.6666666666666666
96,196.0,663.0,Oestergaard_1995_sections_NPY-immun_neurons_quantitation,Murata_2003_P35_sections_NADPH_neurons_quantitation,0.6666666666666666
97,472.0,377.0,Omelchenko_2016_sections_nissl_neurons_quantitation,Pang_2016_brains_TH_neurons_quantitation,0.6666666666666666
98,302.0,269.0,Barcia_2012_sections_NADPH_neurons_quantitation,Zoli_1993_sections_nissl_neurons_quantitation,0.6666666666666666
99,302.0,233.0,Barcia_2012_sections_NADPH_neurons_quantitation,Talavera_1997_mountedsections_weak_NADPHd_neurons_quantitation,0.6666666666666666
100,419.0,277.0,Alexi_1996_sections_TH_neurons_quantitation,Harris_1996_fisher_sections_TH_neurons_quantitation,0.6666666666666666
101,419.0,278.0,Alexi_1996_sections_TH_neurons_quantitation,Harris_1996_lewis_sections_TH_neurons_quantitation,0.6666666666666666
102,232.0,133.0,Svingos_1999_ultrathin_KOR_spines_quantitation,Klenowski_2016_young_slices_MSN_spines_quantitation_shell,0.6666666666666666
103,377.0,472.0,Pang_2016_brains_TH_neurons_quantitation,Omelchenko_2016_sections_nissl_neurons_quantitation,0.6666666666666666
104,145.0,433.0,Lawrence_2012_sections_neurons_quantitation,Bukhatwa_2009_sections_FG_neurons_all_quantitation,0.6666666666666666
105,145.0,651.0,Lawrence_2012_sections_neurons_quantitation,Luk_2001_sections_nissl_neurons_quantitation,0.6666666666666666
106,407.0,432.0,vanBregt_2012_neurons_sections_quantitation,Bukhatwa_2009_sections_FG_neurons_normal_quantitation,0.6666666666666666
107,407.0,433.0,vanBregt_2012_neurons_sections_quantitation,Bukhatwa_2009_sections_FG_neurons_all_quantitation,0.6666666666666666
108,651.0,234.0,Luk_2001_sections_nissl_neurons_quantitation,Talavera_1997_mountedsections_strong_NADPHd_neurons_quantitation,0.6666666666666666
109,651.0,146.0,Luk_2001_sections_nissl_neurons_quantitation,Lawrence_2012_sections_glia_quantitation,0.6666666666666666
110,433.0,145.0,Bukhatwa_2009_sections_FG_neurons_all_quantitation,Lawrence_2012_sections_neurons_quantitation,0.6666666666666666
111,433.0,407.0,Bukhatwa_2009_sections_FG_neurons_all_quantitation,vanBregt_2012_neurons_sections_quantitation,0.6666666666666666
112,432.0,145.0,Bukhatwa_2009_sections_FG_neurons_normal_quantitation,Lawrence_2012_sections_neurons_quantitation,0.6666666666666666
113,432.0,407.0,Bukhatwa_2009_sections_FG_neurons_normal_quantitation,vanBregt_2012_neurons_sections_quantitation,0.6666666666666666
114,133.0,232.0,Klenowski_2016_young_slices_MSN_spines_quantitation_shell,Svingos_1999_ultrathin_KOR_spines_quantitation,0.6666666666666666
115,133.0,231.0,Klenowski_2016_young_slices_MSN_spines_quantitation_shell,Svingos_1999_ultrathin_KOR_terminals_quantitation,0.6666666666666666
116,691.0,651.0,Rymar_2004_sections_CR_neurons_quantitation,Luk_2001_sections_nissl_neurons_quantitation,0.7142857142857143
117,472.0,425.0,Omelchenko_2016_sections_nissl_neurons_quantitation,Back_2013_sections_TH_neurons_quantitation,0.7142857142857143
118,425.0,472.0,Back_2013_sections_TH_neurons_quantitation,Omelchenko_2016_sections_nissl_neurons_quantitation,0.7142857142857143
119,598.0,611.0,Echeverry_2004_sections_NADPHd_neurons_quantitation,Gomes_2003_sections_NADPH_neurons_quantitation,0.7142857142857143
120,611.0,598.0,Gomes_2003_sections_NADPH_neurons_quantitation,Echeverry_2004_sections_NADPHd_neurons_quantitation,0.7142857142857143
121,651.0,691.0,Luk_2001_sections_nissl_neurons_quantitation,Rymar_2004_sections_CR_neurons_quantitation,0.7142857142857143
122,351.0,359.0,Johnson_2010_rats_sections_neurons_quantitation,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,0.75
123,359.0,346.0,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,Johnson_2010_rats_sections_TH_neurons_quantitation,0.75
