,id1,id2,analysis1,analysis2,similarity
60,676.0,596.0,Richner_2009_6m_sections_MSNs_quantitation,Dodds_2014_sections_neurons_quantitation,0.6
61,371.0,402.0,McCormack_2002_sections_TH_neurons_quantitation,Sun_2012_sections_nissl_neurons_quantitation,0.6
62,449.0,402.0,Fukuda_1994_sections_TH_neurons_quantitation,Sun_2012_sections_nissl_neurons_quantitation,0.6
63,450.0,402.0,Fukuda_1994_sections_neurons_quantitation,Sun_2012_sections_nissl_neurons_quantitation,0.6
64,402.0,372.0,Sun_2012_sections_nissl_neurons_quantitation,McCormack_2002_sections_TH_nissl_quantitation,0.6
65,402.0,371.0,Sun_2012_sections_nissl_neurons_quantitation,McCormack_2002_sections_TH_neurons_quantitation,0.6
66,78.0,675.0,Baker_1980_CBA/J_sections_neuron_quantitation,Richner_2009_12m_sections_MSNs_quantitation,0.6
67,78.0,596.0,Baker_1980_CBA/J_sections_neuron_quantitation,Dodds_2014_sections_neurons_quantitation,0.6
68,339.0,675.0,Gross_2003_sections_TH_neurons_quantitation,Richner_2009_12m_sections_MSNs_quantitation,0.6
69,339.0,676.0,Gross_2003_sections_TH_neurons_quantitation,Richner_2009_6m_sections_MSNs_quantitation,0.6
70,339.0,504.0,Gross_2003_sections_TH_neurons_quantitation,Mori_2017_sections_nissl_neurons_quantitation,0.6
71,739.0,617.0,Zhang_2016_ultrathin_synapses_sym_quantitation,Guidetti_2001_sections_spines_secondary_quantitation,0.6
72,739.0,616.0,Zhang_2016_ultrathin_synapses_sym_quantitation,Guidetti_2001_sections_spines_primary_quantitation,0.6
73,738.0,617.0,Zhang_2016_ultrathin_synapses_asym_quantitation,Guidetti_2001_sections_spines_secondary_quantitation,0.6
74,332.0,417.0,Chan_1997_sections_TH_cells_quantitation,Aguirre_1999_sections_Thneg_neurons_quantitation,0.625
75,332.0,491.0,Chan_1997_sections_TH_cells_quantitation,Walters_1999_sections_TH_neurons_quantitation,0.625
76,332.0,418.0,Chan_1997_sections_TH_cells_quantitation,Aguirre_1999_sections_nonneuron_quantitation,0.625
77,201.0,520.0,Parish_2001_sections_snc_TH_neurons_quantitation,Breckenridge_2013_study4_sections_CV_neurons_quantitation,0.625
78,443.0,491.0,Chadi_1993_sections_GFAP_cells_quantitation,Walters_1999_sections_TH_neurons_quantitation,0.625
79,375.0,397.0,Olson_2015_sections_TH_neurons_quantitation,Song_2012_sections_TH_neurons_quantitation,0.625
80,330.0,383.0,Becker_2017_sections_TH_cells_quantitation,Richter_2017_11m_sections_TH_neurons_quantitation,0.625
81,330.0,385.0,Becker_2017_sections_TH_cells_quantitation,Richter_2017_18m_sections_all_neurons_quantitation,0.625
82,330.0,389.0,Becker_2017_sections_TH_cells_quantitation,Richter_2017_pups_sections_all_neurons_quantitation,0.625
83,523.0,202.0,Breckenridge_2013_study5_sections_fluorescent_all_neurons,Parish_2001_snc_NR_neurons_quantitations,0.625
84,491.0,443.0,Walters_1999_sections_TH_neurons_quantitation,Chadi_1993_sections_GFAP_cells_quantitation,0.625
85,491.0,332.0,Walters_1999_sections_TH_neurons_quantitation,Chan_1997_sections_TH_cells_quantitation,0.625
86,522.0,202.0,Breckenridge_2013_study5_sections_fluorescent_TH_neurons_quantitation,Parish_2001_snc_NR_neurons_quantitations,0.625
87,397.0,273.0,Song_2012_sections_TH_neurons_quantitation,Baquet_2009_sections_3d_TH_neurons_quantitation,0.625
88,397.0,509.0,Song_2012_sections_TH_neurons_quantitation,Olson_2015_sections_TH_Thneg_neurons_quantitation,0.625
89,397.0,375.0,Song_2012_sections_TH_neurons_quantitation,Olson_2015_sections_TH_neurons_quantitation,0.625
90,509.0,397.0,Olson_2015_sections_TH_Thneg_neurons_quantitation,Song_2012_sections_TH_neurons_quantitation,0.625
91,711.0,321.0,Suarez_2013_D2R_slices_spines_quantitation,NMO_Martone_2008_MSN_neurons_morphology_63x,0.6666666666666666
92,320.0,712.0,NMO_Martone_2008_MSN_neurons_morphology_25x,Suarez_2013_wt_slices_spines_quantitation,0.6666666666666666
93,320.0,711.0,NMO_Martone_2008_MSN_neurons_morphology_25x,Suarez_2013_D2R_slices_spines_quantitation,0.6666666666666666
94,440.0,202.0,Carta_2011_sections_nissl_neurons_quantitation,Parish_2001_snc_NR_neurons_quantitations,0.6666666666666666
95,440.0,398.0,Carta_2011_sections_nissl_neurons_quantitation,Stayte_2015_sham_sections_neun_neurons_quantitation,0.6666666666666666
96,361.0,512.0,Kincaid_2001_sections_TH_neurons_quantitation,Taylor_2014_12m_sections_neurons_quantitation,0.6666666666666666
97,361.0,516.0,Kincaid_2001_sections_TH_neurons_quantitation,Taylor_2014_6m_sections_neurons_quantitation,0.6666666666666666
98,361.0,405.0,Kincaid_2001_sections_TH_neurons_quantitation,Taylor_2014_30m_sections_TH_neurons_quantitation,0.6666666666666666
