,analysis1,id1,analysis2,id2,similarity
61,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,1.0
62,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
63,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
64,Kosinski_1997_sections_htt+++/calb-_neurons_quantitation,142,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
65,Kosinski_1997_sections_htt-/calb_neurons_quantitation,143,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
66,Kosinski_1997_sections_htt-/calb_neurons_quantitation,143,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
67,Burke_1990_sections_ChAT_neurons_distribution,82,Burke_1990_sections_ChAT_cells_quantitation,81,1.0
68,Forlano_2010_males_slices_MSN_spines_quantitation,104,Forlano_2010_females_slices_MSN_spines_quantitation,103,1.0
69,Forlano_2010_females_slices_MSN_spines_quantitation,103,Forlano_2010_males_slices_MSN_spines_quantitation,104,1.0
70,Kosinski_1997_sections_htt++/calb_neurons_quantitation,137,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
71,Kosinski_1997_sections_htt++/calb_neurons_quantitation,137,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
72,Kosinski_1997_sections_htt+/calb_neuron_quantitation,139,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
73,Kosinski_1997_sections_htt+/calb_neuron_quantitation,139,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
74,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,Meredith_1989_sections_single_ChAT_neurons_distribution,179,1.0
75,Kosinski_1997_sections_htt+++/calb_neurons_quantitation,141,Kosinski_1997_sections_htt++/calb-_neurons_quantitation,140,1.0
76,Kosinski_1997_sections_htt+++/calb_neurons_quantitation,141,Kosinski_1997_sections_htt+/calb-_neurons_quantitation,138,1.0
77,Burke_1990_sections_ChAT_cells_quantitation,81,Burke_1990_sections_ChAT_neurons_distribution,82,1.0
78,Walker_2012b_sections_Thneg_neurons_quantitation,490,Vu_2000_pilot_sections_TH_neurons_quantitation,414,1.0
79,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,Johnson_2010b_rat_sections_neurons_quantitation,357,1.0
80,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
81,Park_2006_TH_nissl_sections_neurons_quantitation,474,Park_2006_TH_nissl_sections_TH_neurons_quantitation,475,1.0
82,Johnson_2010_rats_sections_neurons_quantitation,351,Johnson_2010b_rat_sections_neurons_quantitation,357,1.0
83,Johnson_2010_rats_sections_neurons_quantitation,351,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
84,Park_2006_TH_nissl_sections_TH_neurons_quantitation,475,Park_2006_TH_nissl_sections_neurons_quantitation,474,1.0
85,Johnson_2010b_rat_sections_neurons_quantitation,357,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
86,Johnson_2010b_rat_sections_neurons_quantitation,357,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
87,Johnson_2010_rats_sections_TH_neurons_quantitation,346,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
88,Johnson_2010_rats_sections_TH_neurons_quantitation,346,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
89,Vu_2000_pilot_sections_TH_neurons_quantitation,414,Walker_2012b_sections_Thneg_neurons_quantitation,490,1.0
90,Johnson_2010b_rat_sections_TH_neurons_quantitation,358,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
91,Johnson_2010b_rat_sections_TH_neurons_quantitation,358,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
92,Johnson_2010_rats_sections_Thneg_neurons_quantitation,350,Johnson_2010_rats_sections_neurons_quantitation,351,1.0
93,Johnson_2010_rats_sections_Thneg_neurons_quantitation,350,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,1.0
94,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,1.0
95,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
96,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,1.0
97,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
98,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
99,Lolova_1995_3m_sections_bFGF_small_neurons_quantitation,158,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
100,Lolova_1995_12m_sections_bFGF_neuron_quantitation,164,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
101,Lolova_1995_12m_sections_bFGF_neuron_quantitation,164,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
102,Lolova_1995_12m_sections_bFGF_medium_neuron_quantitation,162,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
103,Lolova_1995_12m_sections_bFGF_medium_neuron_quantitation,162,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
104,Lolova_1995_12m_sections_bFGF_small_neuron_quantitation,161,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
105,Lolova_1995_12m_sections_bFGF_small_neuron_quantitation,161,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
106,Lolova_1995_3m_sections_bFGF_large_neuron_quantitation,160,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
107,Lolova_1995_3m_sections_bFGF_large_neuron_quantitation,160,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
108,Lolova_1995_3m_sections_bFGF_medium_neurons_quantitation,159,Lolova_1995_12m_sections_bFGF_large_neuron_quantitation,163,1.0
109,Lolova_1995_3m_sections_bFGF_medium_neurons_quantitation,159,Lolova_1995_3m_sections_bFGF_neurons_quantitation,157,1.0
110,Khudoerkov_2014_TH_neurons_quantitation,135,Khudoerkov_2014_TH-_neurons_quantitation,136,1.0
111,Khudoerkov_2014_TH-_neurons_quantitation,136,Khudoerkov_2014_TH_neurons_quantitation,135,1.0
112,Wouterlood_2012_sections_vgat_terminals_quantitation,260,Wouterlood_2012_sections_vgat_terminals_distribution,261,1.0
113,Roberts_1995_ultrathin_synapses_quantitation,212,Roberts_1995_ultrathin_sym_synapses_quantitation,214,1.0
114,Roberts_1995_ultrathin_synapses_quantitation,212,Roberts_1995_ultrathin_asym_synapses_quantitation,213,1.0
115,Lenz_1994_sections_GAD67_neurons_quantitation,147,Lenz_1994_sections_PV_GAD67_neurons_quantitation,148,1.0
116,Wouterlood_2012_sections_vgat_terminals_distribution,261,Wouterlood_2012_sections_vgat_terminals_quantitation,260,1.0
117,Roberts_1995_ultrathin_asym_synapses_quantitation,213,Roberts_1995_ultrathin_sym_synapses_quantitation,214,1.0
118,Roberts_1995_ultrathin_asym_synapses_quantitation,213,Roberts_1995_ultrathin_synapses_quantitation,212,1.0
119,Roberts_1995_ultrathin_sym_synapses_quantitation,214,Roberts_1995_ultrathin_asym_synapses_quantitation,213,1.0
