"ID";"Microscopy_details_name";"Microscope";"Mounting_medium";"Refraction_medium";"Numerical_aperture";"Objective_lens";"Total_magnification";"Pixel size";"Z_stack";"Optical_slice_size"
122;"Kang_2010_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
123;"Kincaid_2001_LFMdetails";2;51;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
124;"Komnig_2016_LFMdetails";2;116;"Oil";"1,4";"63X";"Unspecified";;0;"N/A"
125;"Komnig_2016b_LFMdetails";2;116;"Oil";"1,4";"63X";"Unspecified";;0;"N/A"
126;"Lieb_1996_quantitation";2;116;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
127;"Liu_2004_LFMdetails";2;198;"Unspecified";;"Unspecified";"Unspecified";;1;"0,5"
128;"Ma_2009_LFMdetails";2;69;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
129;"McCormack_2002_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
130;"Olson_2015_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
131;"Oorscot_1996_LFMdetails";2;69;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
132;"Pang_2016_LFMdetails";1;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
133;"Panneton_2010_LFMdetails";2;51;"Unspecified";;"100X";"Unspecified";;0;"N/A"
134;"Passos_2012_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
135;"Price_2009_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
136;"Richter_2017_LFMdetails";2;174;"Unspecified";;"40X";"Unspecified";;0;"N/A"
137;"Sanchez_2008_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
138;"Simkins_2012_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
139;"Smeyne_2016_designbased_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
140;"Smeyne_2016_modelbased_LFMdetails";2;52;"Unspecified";;"40X";"400X";;0;"N/A"
141;"Song_2012_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
142;"Stayte_2015_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
143;"Sun_2012_LFMdetails";2;141;"Oil";"1,4";"63X";"Unspecified";;1;"1"
144;"Taylor_2014_LFMdetails";2;51;"Unspecified";"1,3";"40X";"Unspecified";;0;"N/A"
145;"vanBregt_2012_neurons_sections_quantitation_LFMdetails";2;52;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
146;"vanBregt_2012_neurons_sections_quantitation_LFMdetails";2;52;"Unspecified";;"40X";"Unspecified";;0;"N/A"
147;"Vidyadhara_2017_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;0;"N/A"
148;"Vu_2000_LFMdetails";2;51;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
149;"Vu_2000_pilot_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
150;"Winter_2007_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
151;"Aguirre_1999_LFMdetails";2;198;"Oil";"1,25";"100X";"Unspecified";;0;"0,5"
152;"Alexi_1996_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
153;"Andrews_2005_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
154;"Arai_1990_LFMdetails";2;52;"Unspecified";;"Unspecified";"600X";;0;"N/A"
155;"Back_2013_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
156;"Bostanci_2008_LFMdetails";2;52;"Oil";;"100X";"Unspecified";;0;"N/A"
157;"Bostanci_2013_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
158;"Bostanci_2010_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
159;"Bowenkamp_2000_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
160;"Breckenridge_2013_LFMdetails";2;69;"Oil";;"100X";"Unspecified";;0;"N/A"
161;"Bukhatwa_2009_LFMdetails";1;141;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
162;"Cao_2012_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
163;"Carta_2011_LFMdetails";2;52;"Unspecified";;"63X";"Unspecified";;0;"N/A"
164;"Chadi_1993_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
165;"Asyyed_2006_LFMdetails";2;69;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
166;"Chalimoniuk_2006_LFMdetails";2;51;"Unspecified";;"Unspecified";"100X";;0;"N/A"
