"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
271;390;129;"Primary";"1:250";"12";21
272;389;129;"Primary";"1:250";"12";21
273;387;130;"Primary";"1:500";"12";21
274;388;130;"Primary";"1:500";"12";21
275;390;131;"Primary";"1:2000";"12";21
276;389;131;"Primary";"1:2000";"12";21
277;391;132;"Primary";"1:200";"12";21
278;392;132;"Primary";"1:200";"12";21
279;392;129;"Primary";"1:200";"12";21
280;391;129;"Primary";"1:200";"12";21
282;395;79;"Primary";"1:100";"36";4
283;396;79;"Primary";"1:100";"36";4
284;395;112;"Secondary";"1:100";"2";
285;396;112;"Secondary";"1:100";"2";
286;398;61;"Primary";"1:500";"12";
287;398;133;"Secondary";;"1";
288;403;164;"Primary";"1:100";;64
289;403;169;"Secondary";;"1";24
290;416;51;"Primary";"1:200";"48";4
291;416;134;"Primary";"1:200";"48";4
292;416;135;"Primary";"1:200";"48";4
293;416;173;"Secondary";"1:200";"3";21
294;416;88;"Secondary";"1:200";"3";21
296;418;47;"Primary";"1:1000";;
297;418;136;"Primary";"1:500";;
298;418;138;"Secondary";"1:1000";;
299;418;137;"Secondary";"1:1000";;
300;418;139;"Primary";"1:2000";;
301;419;140;"Primary";"1:500";;
302;419;47;"Primary";"1:1000";;
303;419;136;"Primary";"1:1000";;
304;419;137;"Secondary";"1:1000";;
305;419;138;"Secondary";"1:1000";;
308;423;79;"Primary";"1:1500";"12";4
309;425;109;"Primary";"1:2500";"12";
310;425;50;"Secondary";"1:50";"1";
311;427;51;"Primary";"1:500";;
312;427;101;"Secondary";;;
313;430;79;"Primary";"1:1500";"48";4
314;430;101;"Secondary";;;
315;434;177;"Primary";"1:1500";"48";4
316;434;67;"Secondary";"1:200";"2";
317;435;178;"Primary";"1:1500";"48";4
318;435;167;"Secondary";"1:200";"2";
319;439;79;"Primary";"1:1000";"12";
320;438;79;"Primary";"1:1000";"12";
321;438;112;"Secondary";"1:1000";"8";
322;439;112;"Secondary";"1:1000";"8";
323;442;79;"Primary";"1:250";"12";4
324;442;179;"Secondary";"1:400";"0,5";
325;447;71;"Primary";"1:200";"12";4
326;447;36;"Secondary";;"1";21
327;453;71;"Primary";"1:1000";"12";4
328;453;133;"Secondary";"1:100";"2";21
329;456;71;"Primary";"1:1500";;
330;456;133;"Secondary";;;
331;460;101;"Primary";"1:10000";"12";4
332;461;101;"Primary";"1:10000";"12";4
333;462;101;"Primary";"1:10000";"12";4
334;460;67;"Secondary";"1:1000";"1";21
335;461;67;"Secondary";"1:1000";"1";21
336;462;67;"Secondary";"1:1000";"1";21
337;466;101;"Primary";"1:10000";"12";4
338;465;101;"Primary";"1:10000";"12";4
339;465;67;"Secondary";"1:1000";"1";21
340;466;67;"Secondary";"1:1000";"1";21
341;468;51;"Primary";"1:1000";"24";4
342;468;133;"Secondary";"1:500";;
343;470;51;"Primary";"1:500";"1,5";21
344;470;51;"Primary";"1:500";"48";4
345;470;167;"Secondary";"1:100";"2";21
346;476;51;"Primary";"1:1000";"12";4
347;477;51;"Primary";"1:1000";"12";4
348;476;167;"Secondary";"1:200";"0,5";
349;477;167;"Secondary";"1:200";"0,5";
350;482;51;"Primary";"1:1000";"12";4
351;482;167;"Secondary";"1:200";"0,5";
352;484;129;"Primary";"1:1000";"12";4
353;484;67;"Secondary";"1:500";"2";21
354;487;181;"Primary";"1:100";"12";4
355;488;180;"Primary";"1:1000";"12";4
356;488;179;"Secondary";"1:100";"1";21
357;487;179;"Secondary";"1:100";"1";21
358;495;37;"Primary";"1:500";"24";
359;495;112;"Secondary";"1:200";"2";21
360;499;183;"Primary";"1:2000";"12";4
361;499;167;"Secondary";"1:200";"1";21
362;498;184;"Primary";"1:1000";;
363;502;132;"Primary";"1:1000";;
364;502;185;"Secondary";;;
365;501;37;"Primary";"1:2000";;
366;501;185;"Secondary";;;
367;507;37;"Primary";"1:1000";"12";21
368;507;186;"Secondary";;;
369;510;47;"Primary";"1:7500";"12";21
370;510;187;"Secondary";"1:500";"1";
371;512;51;"Primary";"1:500";"24";4
372;512;167;"Secondary";"1:200";"1,5";
373;515;37;"Primary";"1:1000";"48";4
374;515;179;"Secondary";;"2";21
375;521;109;"Primary";"1:600";"24";4
376;522;109;"Primary";"1:600";"24";4
377;523;109;"Primary";"1:600";"24";4
378;524;109;"Primary";"1:600";"24";4
379;521;50;"Secondary";"1:600";;
380;522;50;"Secondary";"1:600";;
381;523;50;"Secondary";"1:600";;
382;524;50;"Secondary";"1:600";;
383;528;129;"Primary";;;
384;529;129;"Primary";;;
385;530;129;"Primary";;;
387;532;109;"Primary";"1:2000";;
388;532;167;"Secondary";"1:500";;
389;534;79;"Primary";"1:500";;
390;536;184;"Primary";"1:1000";;
393;539;37;"Primary";;;
394;542;189;"Primary";"1:1000";"72";4
395;542;190;"Secondary";"1:250";"12";4
396;543;190;"Secondary";"1:250";"12";4
397;543;189;"Primary";"1:1000";"72";4
398;548;51;"Primary";"1:500";;
399;548;191;"Secondary";"1:5000";;
400;553;51;"Primary";"1:2000";"12";
401;554;51;"Primary";"1:2000";"12";
402;555;51;"Primary";"1:2000";"12";
403;553;167;"Secondary";"1:200";"1";21
404;554;167;"Secondary";"1:200";"1";21
405;555;167;"Secondary";"1:200";"1";21
